arm,model,treatment,instance_id,project,patch_nonempty,official_resolved
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-11790,Django,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-11815,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-11848,Django,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-11880,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-11885,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-11951,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-11964,Django,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-11999,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12039,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12050,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12143,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12155,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12193,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12209,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12262,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12273,Django,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12276,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12304,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12308,Django,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12325,Django,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12406,Django,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12708,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12713,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-12774,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,django__django-9296,Django,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-10323,Sphinx,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-10435,Sphinx,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-10466,Sphinx,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-10673,Sphinx,True,False
